id,dimension,tematica,indicador,fuente_registrada,polaridad_actual,polaridad_propuesta,confianza_polaridad,justificacion_polaridad,periodicidad_propuesta,confianza_periodicidad,justificacion_periodicidad,ultima_referencia_en_fuente,proxima_actualizacion,estado_fecha,url_oficial,fecha_revision
18,"Demográfica y Social",Salud,"Población derechohabiente a servicios de salud","INEGI. Censo de Población y Vivienda 2010 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
19,"Demográfica y Social",Salud,"Defunciones registradas por sexo","INEGI. Estadísticas de Defunciones Registradas (EDR) 2021, 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"Las estadísticas de defunciones registradas se publican anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
20,"Demográfica y Social",Salud,"Tasas de mortalidad","Elaboración propia con base en datos del INEGI. Estadísticas de Defunciones Registradas (EDR) y Estadísticas de natalidad 2021, 2022, 2023 y 2024. Reconstrucción y proyecciones de la población de los municipios 1990 - 2040.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"Las estadísticas de defunciones registradas se publican anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
21,"Demográfica y Social",Salud,"Defunciones registradas de menores de un año","INEGI. Estadísticas de Defunciones Registradas (EDR) 2021, 2022, 2023 y 2024..",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"Las estadísticas de defunciones registradas se publican anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
22,"Demográfica y Social",Salud,"Tasa de mortalidad infantil por edad de la madre","Elaboración propia con base en datos del INEGI. Estadísticas de Defunciones Registradas (EDR) y Estadística de Nacimientos Registrados (ENR) 2021, 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"Las estadísticas de defunciones registradas se publican anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
23,"Demográfica y Social",Salud,"Personal médico","INEGI. México en Cifras. 2022, 2023, 2024 y 2025",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
24,"Demográfica y Social",Salud,"Tasa de personal médico","Elaboración propia con base en datos del INEGI. México en Cifras, 2022, 2023, 2024 y 2025. Proyección de Población Municipal 1990 - 2040.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
25,"Demográfica y Social",Salud,"Razón de mortalidad materna","Elaboración propia con en datos del INEGI. Estadísticas de Defunciones Registradas (EDR). Estadísticas de natalidad  2021, 2022, 2023 y 2024. Proyección de Población Municipal 1990 - 2040.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"Las estadísticas de defunciones registradas se publican anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
26,"Demográfica y Social",Vivienda,"Total de viviendas particulares habitadas","INEGI. Censo de Población y Vivienda 2010, 2015 y 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
27,"Demográfica y Social",Vivienda,"Promedio de ocupantes en viviendas particulares habitadas","INEGI. Censo de Población y Vivienda 2010, 2015 y 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
28,"Demográfica y Social",Vivienda,"Viviendas particulares habitadas que disponen de drenaje","INEGI. Censo de Población y Vivienda 2010 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
29,"Demográfica y Social",Vivienda,"Viviendas particulares habitadas que disponen de energía eléctrica","INEGI. Censo de Población y Vivienda 2010 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
30,"Demográfica y Social",Vivienda,"Viviendas particulares habitadas que disponen de excusado o sanitario","INEGI. Censo de Población y Vivienda 2010 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
31,"Demográfica y Social",Vivienda,"Viviendas particulares habitadas que disponen de computadora","INEGI. Censo de Población y Vivienda 2010 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
32,"Demográfica y Social",Vivienda,"Índice de hacinamiento","INEGI. Censo de Población y Vivienda 2015 y 2020",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
33,"Demográfica y Social",Pobreza,"Porcentaje de población en situación de pobreza","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
34,"Demográfica y Social",Pobreza,"Porcentaje de población en situación de pobreza extrema","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
35,"Demográfica y Social",Pobreza,"Porcentaje de población en situación de pobreza moderada","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
36,"Demográfica y Social",Pobreza,"Porcentaje de población vulnerable por carencias sociales","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
37,"Demográfica y Social",Pobreza,"Porcentaje de población vulnerable por ingresos","CONEVAL. Pobreza municipal 2010-2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
38,"Demográfica y Social",Pobreza,"Porcentaje de población no pobre y no vulnerable","CONEVAL. Pobreza municipal 2010-2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
39,"Demográfica y Social",Pobreza,"Porcentaje de población con carencia por acceso a los servicios de salud","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
40,"Demográfica y Social",Pobreza,"Porcentaje de población con carencia por acceso a la seguridad social","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
41,"Demográfica y Social",Pobreza,"Porcentaje de población con carencia por calidad y espacios de la vivienda","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
42,"Demográfica y Social",Pobreza,"Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
43,"Demográfica y Social",Pobreza,"Porcentaje de población con carencia por acceso a la alimentación","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
44,"Demográfica y Social",Pobreza,"Porcentaje de población con al menos una carencia social","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
45,"Demográfica y Social",Pobreza,"Porcentaje de población con tres o más carencias sociales","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
46,"Demográfica y Social","Distribución del ingreso","Población con ingreso inferior a la línea de pobreza por ingresos","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
47,"Demográfica y Social","Distribución del ingreso","Población con ingreso inferior a la línea de pobreza extrema por ingresos","CONEVAL. Pobreza municipal 2010-2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
48,"Demográfica y Social","Distribución del ingreso","Índice de marginación","CONAPO. Consejo Nacional de Población 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2020,,"Por confirmar con calendario oficial",https://www.gob.mx/conapo,2026-07-22
49,"Demográfica y Social","Distribución del ingreso","Rezago social","CONAPO. Consejo Nacional de Población 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2020,,"Por confirmar con calendario oficial",https://www.gob.mx/conapo,2026-07-22
50,"Demográfica y Social","Distribución del ingreso","Razón de ingreso","CONEVAL. Cohesión Social a Nivel Municipal 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
51,"Demográfica y Social","Distribución del ingreso","Coeficiente de Gini","CONEVAL. Cohesión Social a Nivel Municipal 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
52,"Demográfica y Social",Educación,"Promedio de alumnos inscritos por escuela según nivel educativo de educación básica","Elaboración propia con en datos de la SEP. Sistema Interactivo de Consulta Estadística Educativa, Ciclo escolar 2021/2022, 2022/2023, 2023/2024 y 2024/2025.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.planeacion.sep.gob.mx/,2026-07-22
53,"Demográfica y Social",Educación,"Promedio de alumnos atendidos por grupo según nivel educativo de educación básica","Elaboración propia con en datos de la SEP. Sistema Interactivo de Consulta Estadística Educativa, Ciclo escolar 2021/2022, 2022/2023, 2023/2024 y 2024/2025.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.planeacion.sep.gob.mx/,2026-07-22
54,"Demográfica y Social",Educación,"Promedio de alumnos atendidos por un maestro según nivel educativo de educación básica","Elaboración propia con en datos de la SEP. Sistema Interactivo de Consulta Estadística Educativa, Ciclo escolar 2021/2022, 2023/2024 y 2024/2025.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2025,,"Por confirmar con calendario oficial",https://www.planeacion.sep.gob.mx/,2026-07-22
55,Económico,"Sistema de Cuentas Nacionales","Producción bruta total (Millones de pesos)","INEGI. Censos Económicos. Sistema Automatizado de Información Censal  2019 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Quinquenal,media,"Los Censos Económicos se levantan cada cinco años.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
56,Económico,"Sistema de Cuentas Nacionales","Valor Agregado Censal Bruto por sector económico (Millones de pesos)","INEGI. Censos Económicos. Sistema Automatizado de Información Censal  2019 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Quinquenal,media,"Los Censos Económicos se levantan cada cinco años.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
57,Económico,"Sistema de Cuentas Nacionales","Ingresos por remesas (Millones de dólares)","BANXICO. Sistema de Información Económica 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2024,,"Por confirmar con calendario oficial",https://www.banxico.org.mx/,2026-07-22
58,Económico,Empleo,"Población de 12 años y más por condición de actividad económica","INEGI. Censo de Población y Vivienda 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
59,Económico,Empleo,"Población Económicamente Activa por grupo (ocupada y desocupada)","INEGI. Censo de Población y Vivienda 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
60,Económico,Empleo,"Tasa de participación económica","INEGI. Censo de Población y Vivienda 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
61,Económico,Empleo,"Personal ocupado por sexo","INEGI. Censos Económicos. Sistema Automatizado de Información Censal 2019 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Quinquenal,media,"Los Censos Económicos se levantan cada cinco años.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
62,Económico,Empleo,"Porcentaje de personal ocupado por sector","INEGI. Censos Económicos. Sistema Automatizado de Información Censal 2019 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Quinquenal,media,"Los Censos Económicos se levantan cada cinco años.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
63,Económico,Empleo,"Puestos de trabajo registrados en el IMSS según relación laboral","INEGI. México en Cifras 2021, 2022, 2023, 2024 y 2025..",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Mensual,media,"Los registros administrativos del IMSS se actualizan mensualmente; el resumen puede ser anual.",2025,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
64,Económico,Empleo,"Tasa de crecimiento anual de los puestos de trabajo registrados en el IMSS","Elaboración propia con base en el INEGI. México en Cifras 2020, 2022, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Mensual,media,"Los registros administrativos del IMSS se actualizan mensualmente; el resumen puede ser anual.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
65,Económico,Empleo,"Unidades Económicas","INEGI. Directorio Estadístico Nacional de Unidades Económicas, noviembre 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
66,Económico,Empleo,"Tasa de crecimiento anual de las unidades económicas","Elaboración propia con base en eI INEGI. Directorio Estadístico Nacional de Unidades Económicas, noviembre 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.","Por confirmar",baja,"La fuente registrada no permite establecer un calendario confiable.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
67,Económico,Agropecuaria,"Valor de la producción agrícola (Miles de pesos)","SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2020, 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
68,Económico,Agropecuaria,"Participación al valor de la producción agrícola estatal","Elaboración propia con base en el SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2020, 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
69,Económico,Agropecuaria,"Volumen de producción agrícola (Toneladas)","SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2020, 2021, 2022, 2023 y 2024.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
70,Económico,Agropecuaria,"Superficie (Hectáreas)","SIAP. Dirección General del Servicios de Información Agropecuaria y Pesquera. Datos abiertos 2020, 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"Los datos productivos agrícolas y pecuarios se consolidan por ciclo o año agrícola.",2024,,"Por confirmar con calendario oficial",https://www.gob.mx/siap,2026-07-22
